5407	boqorkan	this king
5408	boqorradan	these kings
5411	boqorradeenna	our (incl.) kings
5412	boqorkannaga	our king
5413	boqorkayaga	our (excl.) king
5414	boqorkayga	my king
5415	boqorkaas	that king (over there)
5416	Boqorkeenna waa weyn yahay.	Our king is great.
5417	Boqorkeennii hore waa weynaa.	Our previous king was great.
5418	Boqorradeennii hore waa ay weynaayeen.	Our previous kings were great.
5419	Ma aragtay boqorkeenna?	Have you seen our king?
5420	Miyaad aragtay boqorkeenna?	Have you seen our king?
5421	Boqorkeenna ma aragtay?	Have you seen our king?
5422	Boqorkeenna miyaad aragtay?	Have you seen our king?
5423	Boqorkeenna wuu yimid.	Our king has arrived.
5424	Boqorkeenna waa yimid.	Our king has arrived.
5426	Kumaa yimid?	Who arrived?
5427	Waa kee kan yimid?	Who was it that arrived?
5428	Waa kuma kan yimid?	Who was it that arrived?
5429	Boqorkii baa yimid.	The king has arrived.
5430	Waxaa yimid boqorka.	It was the king that arrived.
5431	Waa boqorka waxaa yimid.	It was the king that arrived.
5432	Boqorkii waa yimid.	The king has arried.
5437	maalintan iyo habeenkan	this day and this night
5438	habeenkan iyo maalintan	this night and this day
5440	maanta iyo caawa	today and tonight
5441	cawadatan	this evening ; tonight
5442	maalintii hore	the previous day
5443	habeenkii hore	the previous night
5444	cawadii hore	the previous evening
5446	maalin aad u dheer	a very long day
5449	afartan maalmood	these four days
5450	maalmahan afarta ah	these four days
5451	afar maalmood oo hore	the previous four days
5452	maalmo afar ah oo horraysey	the preceding four days
5453	maalmo afar ah oo la soo dhaafay	four days that have passed
5454	afar maalmood oo la soo dhaafay	four days that have passed
5457	maalmo dheer	long days
5459	macallin	teacher
5462	bare cusub	a new teacher
5463	macallin iyo arday|m	a teacher and a pupil
5464	bare iyo arday|m	a teacher and a pupil
5465	arday iyo macallinkiis	a pupil and his teacher
5466	arday iyo barihiisa	a pupil and his teacher
5467	barahan cusub	this new teacher
5468	barihii hore	that previous teacher (you know)
5469	macallinkii hore	that previous teacher (you know)
5470	macallinkii cusbaa	that new teacher (you know)
5471	barihii cusbaa	that new teacher (you know)
5472	macallinkayga cusub	my new teacher
5473	barahayga cusub	my new teacher
5474	macallinkaaga cusub	your new teacher
5475	barahaaga cusub	your new teacher
5476	macallinkaagii hore	that previous teacher of yours
5477	barahaagii hore	that previous teacher of yours
5478	Macallinkaagii hore waa uu wanaagsanaa.	Your previous teacher was good.
5479	Barahaagii hore waa uu wanaagsanaa.	Your previous teacher was good.
5480	Miyaad aragtay macallinkaygii?	Have you seen my teacher?
5481	Ma aragtay macallinkaygii?	Have you seen my teacher?
5482	Macallinkaygii ma aragtay?	Have you seen my teacher?
5483	Barahaygii ma aragtay?	Have you seen my teacher?
5484	Haa, waan arkay macallinkaagii.	Yes, I have seen your teacher.
5485	Macallinkaagii waan arkay.	I have seen your teacher.
5486	Kee baad aragtay?	Whom did you see?
5488	Waa kuma kaad aragtay?	Who was it that you saw?
5489	Waa kuma midka aad aragtay?	Who was the one that you saw?
5490	Waxaan arkay macallinkaagii.	I saw your teacher.
5491	Macallinkaagii baan arkay.	I saw your teacher.
5492	barayaasha	the teachers
5493	barayaal	teachers
5494	ardayda iyo macallimiinta	the pupils and the teachers
5495	macallimiinta iyo ardayda	the teachers and the pupils
5496	barayaasha iyo ardayda	the teachers and the pupils
5497	ardayda iyo barayaasha	the pupils and the teachers
5498	arday|f iyo barayaal	pupils and teachers
5499	barayaal iyo arday|f	teachers and pupils
5500	macallimiin iyo arday|f	teachers and pupils
5501	arday|f iyo macallimiin	pupils and teachers
5502	Fadlan, macallimiin.	Please, teachers.
5503	Fadlan, barayaal.	Please, teachers.
5504	macallimiintii naxariista badnayd	those kind teachers (you know)
5505	barayaal wanaagsan	good teachers
5506	barayaal naxariis badan	kind teachers
5507	shan macallimiin	five teachers
5508	shan barayaal	five teachers
5509	shan macallin	five teachers
5510	shan bare	five teachers
5511	shan bare oo naxariis badan	five kind teachers
5512	shan macallin oo naxariis badan	five kind teachers
5514	afar inan	four boys
5515	afar igaar	four boys
5516	afar wiil oo yaryar	four small boys
5517	shan guri	five houses
5518	shan aqal	five houses
5519	shan guri oo yaryar	five small houses
5520	shan aqal oo yaryar	five small houses
5521	gurigii Cali	Ali's house
5522	aqalkii Cali	Ali's house
5523	Cali iyo Sahro gurigooda	Ali and Sara's house
5524	gurigii Cali iyo Sahro	Ali and Sara's house
5525	aqalkii Cali iyo Sahro	Ali and Sara's house
5527	reerka Cumar	Omar's family
5528	Cumar reerkiisa	Omar's family
5529	Cumar qoyskiisa	Omar's family
5530	qoyska Cumar iyo Faaduma	Omar and Fatima's family
5531	Cumar iyo Faaduma qoyskooda	Omar and Fatima's family
5534	mukulaal yar	a little cat
5536	bisaddii yarayd	that little cat (you know)
5537	mukulaashii yarayd	that little cat (you know)
5538	bisadda yar iyo eyga weyn	the small cat and the big dog
5539	eyga weyn iyo bisadda yar	the big dog and the small cat
5540	bisaddii hore iyo eygii hore	the previous cat and the previous dog
5541	bisaddii yarayd ee hore iyo eygii weynaa ee hore	that previous small cat and that previous big dog
5543	xarunta dhaqanka Hargeysa	the Center of Hargeysa Culture
5549	sheekadan gaaban	this short story
5552	sheekadeeda gaaban	her short story
5553	Sheekadeeda way gaaban tahay.	Her story is short.
5554	Sheekadeeda way yar tahay.	Her story is small.
5555	Sheekadeedii hore way gaabnayd.	Her previous story was short.
5556	Sheekadeedii hore way yarayd.	Her previous story was small.
5557	sheekadeedii hore ee yarayd	her previous little story
5558	sheekadeedii hore ee gaabnayd	her previous short story
5559	shan sheeko	five stories
5560	shan sheeko oo gaaban	five short stories
5561	shan sheeko oo yar	five little stories
5562	shan sheeko oo gaagaaban	five short stories
5563	shan sheeko oo yaryar	five little stories
5567	sheekooyin gaaban	short stories
5568	sheekooyin yar	little stories
5569	sheekooyin yaryar	little stories
5570	sheekooyinka yaryar	the little stories
5571	sheekooyinkan yaryar	these little stories
5572	sheekooyinkan gaagaaban	these short stories
5574	Waa sheekadee?	Which story is it?
5576	Sheekooyinkee baad maqashay?	Which stories have you heard?
5577	Sheekooyinkee ayaad maqashay?	Which stories have you heard?
5580	rati	camel
5581	rati weyn	a big camel
5582	ratiga weyn	the big camel
5583	ratigaaga weyn	your big camel
5584	ratigaas weyn	that big camel (over there)
5585	Ratigayga waa weyn yahay.	My camel is big.
5586	Ratigayga waa uu weyn yahay.	My camel is big.
5587	ratigaygii weynaa	my big camel
5588	ratigaygii hore ee weynaa	my previous big camel
5589	Ratigaygii waa uu weynaa.	My camel was big.
5590	Waxaan arkay rati.	I have seen a camel.
5593	Ratiyaan arkay.	I have seen a camel.
5594	Anigu waxaan arkay rati.	I have seen a camel.
5595	Aniga baa arkay ratiga.	I have seen the camel.
5596	Aniga ayaa arkay ratiga.	I have seen the camel.
5597	Aniga baa ratiga arkay.	I have seen the camel.
5598	Aniga ayaa ratiga arkay.	I have seen the camel.
5599	Aniga ayaa rati arkay.	I have seen a camel.
5600	Aniga baa rati arkay.	I have seen a camel.
5601	Aniga ayaa guri arkay.	I have seen a house.
5602	Aniga ayaa aqal arkay.	I have seen a house.
5603	Aniga baa guri arkay.	I have seen a house.
5604	Aniga waxaan arkay abeeso.	I have seen a python.
5605	Aniga ayaa abeeso arkay.	I have seen a python.
5606	Aniga ayaa abeesada arkay.	I have seen the python.
5607	Aniga baa abeesada arkay.	I have seen the python.
5608	Aniga baa abeeso arkay.	I have seen a python.
5609	irbad	needle
5612	cirbado	needles
5613	cirbadaha	the needles
5614	Aniga ayaa cirbadda arkay.	I have seen the needle.
5615	Aniga ayaa cirbad arkay.	I have seen a needle.
5616	Aniga ayaa cirbado arkay.	I have seen needles.
5617	Anigu waxaan arkay ratiyo.	I have seen camels.
5618	Aniga ayaa ratiyo arkay.	I have seen camels.
5619	cirbado iyo dumo	needles and threads
5620	cirbado iyo dunyaal	needles and threads [ungram.]
5621	cirbadaha iyo dumaha	the needles and the threads
5622	cirbadaha iyo dunyaasha	the needles and the threads [ungram.]
5623	cirbadda weyn	the big needle
5624	cirbad weyn	a big needle
5625	cirbado waaweyn	big needles
5626	cirbado weyn	big needles
5627	cirbadaha waaweyn	the big needles
5628	cirbadahaas waaweyn	those big needles (over there)
5629	cirbaddaas weyn	that big needle (over there)
5630	cirbaddayda weyn	my big needle
5631	cirbaddooda weyn	the big needle
5632	cirbadahooda waaweyn	their big needles
5633	cirbaddayda cusub	my new needle
5634	Cirbaddayda waa ay cusub tahay.	My needle is new.
5635	Cirbaddayda way cusub tahay.	My needle is new.
5636	cirbaddaydii cusbayd	that new needle of mine (you know)
5637	Cirbaddaydii cusbayd bay iga dhuntay.	My new needle has disappeared for me. [ungram.]
5638	Cirbaddaydii cusbayd bay iga luntay.	My new needle has disappeared for me. [ungram.]
5639	Cali baa dhumay.	Ali has disappeared.
5640	Cali baa lumay.	Ali has disappeared.
5642	Cirbaddee ayaad qaadatay?	Which needle did you take (with you)?
5643	Cirbaddee ayaad qaadday?	Which needle have you taken (right now)?
5644	cirbadahee	which needles?
5645	Cirbadahee baad qaadday?	Which needles have you taken (right now)?
5646	Cirbadahee baad qaadatay?	Which needles did you take (with you)?
5647	Cirbadahee ayaad qaadatay?	Which needles did you take (with you)?
5648	afar cirbadood	four needles
5649	afar cirbad	four needles [ungram.]
5650	afar cirbad oo cusub	four new needles [ungram.]
5651	afar cirbadood oo cusub	four new needles
5652	Ma cirbad baa?	Is it a needle?
5653	Ma cirbadaa?	Is it a needle?
5654	Ma cirbado baa?	Are they needles?
5655	Kuwa kani ma cirbado baa?	Are these needles?
5661	walaashay	my sister
5662	walaalkay	my brother
5663	walaalkay iyo walaashay	my brother and my sister
5664	walaashay iyo walaalkay	my sister and my brother
5669	walaalkay iga weyn	my bigger brother
5670	walaalkay weyn	my big brother
5671	walaashay yar	my little sister
5672	walaashay iga yar	my smaller sister
5673	Walaashay waxay joogtaa guriga.	My sister is (staying) at home.
5674	Walaashay waxay joogtaa aqalka.	My sister is (staying) at home.
5675	Walaalkay wuxuu joogaa dugsiga.	My brother is at school.
5676	Walaalkay wuxuu ku sugan yahay dugsiga.	My brother is (dwells) at school.
5677	Walaalkay waxaa laga heli karaa dugsiga.	My brother is (can be found) at school.
5678	Walaalkay waxaad ka heli kartaa dugsiga.	You can find my brother at school.
5679	aabbe	father
5681	qare	watermelon
5683	Hilowle	Hilowle
5689	Haweeyo	Haweeyo
5690	Ardo|pn	Ardo
5691	ardo|f	students
5693	Baraawe	Baraawe
5694	Burco	Burco
5695	Gaalkacyo	Gaalkacyo
5697	Kismaayo	Kismaayo
5700	Arbaco	Wednesday
5701	Talaado	Tuesday
5703	aqal	house
5704	dubbe	hammer
5706	igaar	boy
5707	inan|m	boy
5708	Warfaa	Warfaa
5709	Calasow	Calasow
5710	Geeddi	Geeddi
5711	Fiidow	Fiidow
5712	Faarax	Faarax
5713	Cabdisalaam	Abdisalaam
5714	Cabdi	male name
5716	Maxamuud	Mahamoud
5717	Muumin	Muumin
5718	Mursal	Mursal
5720	Cismaan	Cismaan
5721	qoraa	writer
5722	waraabe	hyena
5723	dhurwaa	hyena
5724	gabyaa	poet
5727	gaari|m	car
5728	baabuur|m	car
5729	gaari|f	good housewife
5731	awr|m	male pack camel
5732	hal|m	camel
5734	ratiga	the camel
5735	awrka	the camel
5736	nirig|f	female camel foal
5737	qurbac	young camel
5738	nirig|m	male camel foal
5739	hal baabuur	one car
5740	baabuurro	cars
5741	baabuur|f	cars
5742	baabuurta	the cars
5745	subaxda	the morning
5748	sannadkan	this year
5750	sannad hore	last year
5751	nin	man
5752	niman	men
5753	ninkan	this man
5754	ninka	the man
5755	ninkaas	that man
5758	haweenka	the women
5759	haweentan	this woman
5760	haweeneydan	this woman
5761	naagtan	this woman
5762	haweeney	a woman
5763	haweenkan	these women
5766	caano	milk
5767	caanaha	the milk
5768	luqad	language
5769	luqadda	the language
5770	af	language
5771	afka	the language
5772	afaf	languages
5773	afafka	the languages
5775	nimanka	the men
5776	nimankan	these men
5777	nimankaas	those men
5778	hooyo	mother
5779	hiindo	mother
5780	hooyada	the mother
5781	hooyooyin	mothers
5782	hooyooyinka	the mothers
5784	hooyadaa	your mother
5785	hooyadiis	his mother
5786	hooyaday	my mother
5787	cunto	food
5788	raashin	food
5789	cuntadan	this food
5790	cuntadayda	my food
5791	cuntadaada	your food
5792	Cuntadaada maad cuntid?	Haven't you eaten your food?
5793	Maad cuntid?	Don't you eat?
5794	Maad yeeshid?	Don't you do (it)?
5795	Maad yeeshid layliga?	Don't you do the exercise?
5796	Maad yeeshid hadalka hooyadaa?	Don't you obey your mother's words?
5798	mindida	the knife
5799	mindiyo	knives
5800	mindiyaha	the knives
5801	mindidayda	my knife
5802	mindidiisa	his knife
5803	mindidaada	your knife
5804	mindidan	this knife
5805	mindi dheer	a long knife
5806	mindi gaaban	a short knife
5807	Maxamed mindidiisa	Mohamed's knife
5808	mindida Maxamed	Mahamed's knife
5809	minidida Cali	Ali's knife
5810	Cali mindidiisa	Ali's knife
5814	kubbadda laliska	(the) volleyball
5817	kubbadda gacanta	(the) handball
5818	kubbadda	the ball
5819	lalis	volley
5820	kolay	basket
5821	miis	table
5822	gacanta	the hand
5825	Kani ma miisaa?	Is this a table?
5826	Kani ma guri baa?	Is this a house?
5827	Ma guriyaa?	Is it a house?
5828	Tani ma yaanyuuraa?	Is this a cat?
5829	Tani ma bisad baa?	Is this a cat?
5830	Tani ma yaanyuur baa?	Is this a cat?
5831	Tani ma magaaladii baa?	Is this that city?
5834	Anigu waan cunayaa.	I am eating
5835	Anigu waan cunaa.	I eat
5836	Waan cunaa.	I eat
5838	Wuu cunayaa.	he is eating it.
5839	Way cuntaa.	She eats it.
5840	Waynu cunnaa.	we eat
5841	Waannu cunnaa.	we eat
5842	idinku	you
5843	Waad cuntiin.	you eat
5844	Way cunaan.	They eat it.
5845	Waan cunay.	I ate
5846	Waad cuntay.	you ate
5847	Wuu cunay.	He ate it.
5848	Way cuntay.	She ate it.
5849	Waan cunnay.	we ate
5850	Waad cunteen.	you ate
5851	Way cuneen.	They ate it.
5852	caadaley	conditional
5853	jiray	was
5854	joogto	present tense
5855	tagto|n	past tense
5856	cuni jiray	used to eat
5857	cabbi jiray	used to drink
5858	Waan cabbi jiray.	I used to drink
5859	Waan cabbaa.	I drink
5861	Waan cuni jiray.	I used to eat
5862	Waan cuni doonaa.	I will eat
5863	Waan cabbi doonaa.	I will drink
5864	Hadda waan cunayaa.	now I am eating
5865	Waan cunayaa.	I am eating
5866	Waan cunayay.	I was eating
5867	Xasan wuu hurdaa.	Hasan sleeps.
5868	Xasan waa hurdaa.	Hasan sleeps.
5869	Sahro way carartay.	Sahra ran.
5870	Sahro way orodday.	Sahra ran.
5871	Gabadhu way orodday.	The girl ran.
5872	Way orodday.	She ran.
5873	Gabadhan way orodday.	This girl ran.
5874	Gabadhayda way orodday.	My daughter ran.
5875	Ma i maqlaysaa?	Do you hear me?
5876	Ma i maqlaysaa hadda?	Do you hear me now?
5877	Waa bishee bishan?	What month is this month?
5878	Bisheen ku jirnaa?	Which month are we in?
5879	Sannadkan waa sannadkee?	This year is what year?
5880	Sannadkeen ku jirnaa?	What year are we in?
5881	Magaaladee waaye magaaladan?	What city is this city?
5882	Waa magaaladee?	Which city is it?
5883	Waa bisaddee bisaddan?	What cat is this cat?
5884	Mukulaashan waa tee?	Which cat is this?
5889	Magacaygu waa Axmed.	My name is Ahmed.
5890	Magacayga waxaa la yiraahdaa Axmed.	The name that I am called is Ahmed.
5891	kow	one
5892	saddex gabdhood	three girls
5893	afar wiil	four boys
5894	shan baabuurro	five cars
5895	shan baabuur	five cars
5896	afar	four
5897	shan	five
5898	lix	six
5900	toddobo qaalli	seven ???
5901	Tani waa hooyaday.	This is my mother.
5902	Maxay samaynaysaa hooyaday?	What is my mothe doing?
5903	Maxay samaynaysaa hooyo?	What is mother doing?
5904	Hooyo maxay samaynaysaa?	What is mother doing?
5905	Hooyadaa maxay samaynaysaa?	What is your mother doing?
5906	Aabbahaa muxuu samaynayaa?	What is your father doing?
5907	Aabbahaa muxuu qabtaa?	What is your father doing?
5908	Waxay fiirinaysaa shimbir.	She is looking at a bird.
5910	Shimbir miyay hooyo fiirinaysaa?	Is mother looking at a bird?
5911	Shimbir miyay fiirinaysaa?	Is she looking at a bird?
5912	Maxay fiirinaysaa hooyo?	What is mother looking at?
5913	Waa maxay waxa ay fiirinayso?	What is it that mother is looking at?
5914	Waa maxay waxa ay fiirinayso hooyo?	What is it that mother is looking at?
5916	Hooyo waxa ay fiirinaysaa shimbir.	Mother is looking at a bird.
5917	Waa kuma qofka fiirinaya shimbirta?	Who is the person who is looking at the bird?
5918	Waa qofkee qofka fiirinaya shimbirta?	Who is the person who is looking at the bird?
5919	Yaa waaye?	Who is it?
5920	Waa kuma?	Who is it?
5921	Yaa waaye qofka garaacaya albaabka?	Who is the person who is nocking at the door?
5922	Waa kuma qofka garaacaya albaabka?	Who is the person who is knocking at the door?
5923	Waa hooyo qofka fiirinayaa.	It is mother who is looking at it.
5924	Shimbirta waxaa fiirinaya...	The one looking at the bird is...
5925	Hooyo baa fiirinaysa shimbirta.	It's mother who is looking at the bird.
5926	Hooyo ayaa fiirinaysa shimbirta.	It's mother who is looking at the bird.
5928	Yaad la kulantay?	Whom did you meet with?
5929	Yaad la kulmaysay?	Whom were you meeting with?
5931	Waxaan la kulmay Sahro.	I met with Sahra.
5932	Waa kuma kaasi?	Who is that?
5934	Taasi ma Sahraa?	Is that Sahra?
5935	Taasi ma Sahro baa?	Is that Sahra?
5936	Taasi ma Sahraa oo ordaysa?	Is that Sahra running?
5937	Waa tuma tan ordaysa?	Who is that running?
5938	Waa tee tan ordaysa?	Who is that running?
5939	Waa kuma kan ordaya? 	Who is that running?
5940	Waa kee kan ordaya?	Who is that running?
5941	Kee baa ordaya?	Who is running?
5942	Cabdi baa ordaya.	It's Abdi that is running.
5943	Cabdi ayaa ordaya.	It's Abdi that is running.
5944	Warsame baa ordaya.	It's Warsame that is running.
5945	Warsame ayaa ordaya.	It's Warsame that is running.
5946	Faadumo ayaa ordaysa.	It's Faduma that is running.
5947	Faadumo baa ordaysa.	It's Faduma that is running.
5948	Waxaa ordaysa Faadumo.	It's Faduma that is running.
5949	gobollada Mudug	the regions of Mudug
5950	gobolka Mudug	the Mudug region
5951	ujeedka kulanka	the aim of the meeting
5952	ujeeddada kulanka	the aim of the meeting
5953	xafiiska fiisaha	the visa office
5954	xafiiska fiisada	the visa office
5955	xafiiska fiisooyinka	the visa office
5956	dalkugal	entry visa
5957	dalkugallada	the visas
5958	webi	river
5959	webiga	the river
5960	webiyo	rivers
5961	webiyada	the rivers
5963	webiyada iyo buuraha	the rivers and the mountains
5964	webi iyo buur	a river and a mountain
5965	webiyo iyo buuro	rivers and mountains
5967	webiga iyo buurta	the river and the mountain
5968	webi weyn	a big river
5969	webiga weyn	the big river
5970	webiyo waaweyn	big rivers
5971	webiyada waaweyn	the big rivers
5972	webigaas weyn	that big river
5973	webigaas	that river
5974	webiyeenna	our river
5975	webigannaga	our river
5976	webiyadeennna	your rivers
5977	webigooda	their river
5978	webigeeda	her river
5979	webigaaga	your river
5980	webigayga	my river
5981	labo webi	two rivers
5982	labo webi oo waaweyn	two big rivers
5983	Webigooda waa weyn yahay.	Their river is big.
5984	Webigooda waa uu weyn yahay.	Their river is big.
5985	Webigooda wuu weyn yahay.	Their river is big.
5986	Ma webigoodii baa?	Is it their river?
5987	Webigoodii miyaa?	Is it their river?
5988	Haa, waa webigoodii.	Yes, it is their river.
5989	Miyaad aragtay webigooda?	Have you seen their river?
5990	Ma aragtay webigooda?	Have you seen their river?
5991	Haa, waan arkay webigooda.	Yes, I have seen their river.
5992	dibi|m	ox
5996	dibi|f	oxen
5998	hal dibi iyo hal sac	one ox and one cow
5999	labo dibi iyo laba sac	two oxen and two cows
6000	hal dibi oo weyn	one big ox
6001	hal sac oo weyn	one big cow
6002	dibi weyn	a big ox
6003	dibiga weyn	ox\m-def big
6004	dibiyo waaweyn	big oxen
6005	dibiyada waaweyn	the big oxen
6006	dibi waaweyn	big oxen
6007	labo dibi oo waaweyn	two big oxen
6008	labo dibi oo weyn	two big oxen
6012	dibigayga	my ox
6013	dibigaaga	your ox
6014	dibigiisa	his ox
6015	dibigeeda	her ox
6016	dibidooda	their oxen
6017	dibigooda	their ox
6018	Kani ma dibi baa?	Is this an ox?
6019	Ma dibi|m baa?	Is this an ox?
6020	Ma dibi|f baa?	Are these oxen?
6021	Kuwa kani ma dibi.	Are these oxen?
6022	Haa, waa dibi|m.	Yes, it is an ox.
6023	Haa, waa dibi|f.	Yes, they are oxen.
6024	Ma aragtay dibigii?	Have you seen that ox?
6025	Ma aragtay dibigaygii?	Have you seen my ox?
6026	Haa, waan arkay dibigaagii.	Yes, I have seen your ox.
6027	Dibigu wuu weyn yahay.	The ox is big.
6028	Dibigaagu wuu weyn yahay.	Your ox is big.
6029	Dibigiisa wuu weyn yahay.	His ox is big.
6030	Dibigeeda wuu weyn yahay.	Her ox is big.
6031	Sabti	Saturday
6034	Sabtida	the Saturday
6035	Sabtiyo	Saturdays
6038	Sabtiyada	the Saturdays
6039	Sabtigaas	that Saturday
6041	Sabtigii hore	last Saturday
6043	Sabtidii hore	last Saturday
6044	tuke	crow
6049	tukayaasha	the crows
6051	tukooyin	crows
6053	tukahaas	that crow
6054	tukahaas weyn	that big crow
6059	Tuke miyaa?	Is this a crow?
6061	Haa, waa tuke.	Yes, it is a crow.
6062	Ma aragtay tukihii?	Have you seen that crow?
6064	Haa, waan arkay tukihii.	Yes, I have seen that crow.
6065	hal magaalo	one city
6066	magaalo	city
6070	hal tuke	one crow
6071	magaaladan	this city
6072	magaalooyin	cities
6073	magaalooyinka	the cities
6074	magaaladaas	that city
6076	magaaladeenna	our city
6077	magaaladayda	my city
6078	magaaladannada	our city
6080	hal tuke oo weyn	one big crow
6081	magaaladanya	our city
6082	Tani ma magaalaa?	Is this a city?
6083	Tani ma magaalo baa?	Is this a city?
6084	Ma magaalaa?	Is it a city? 
6085	Ma magaalo baa?	Is it a city?
6086	Haa, waa magaalo.	Yes, it is a city.
6088	Haa, waa magaalo aad u weyn.	Yes, it is a very big city.
6090	Haa, waa magaalo aad u qurux badan.	Yes, it is a very beautiful city.
6091	Haa, waa magaalo weyn oo aad u qurux badan.	Yes, is is a big and very beautidul city.
6092	Miyaad aragtay magaaladan?	Have you seen this city?
6093	Ma aragtay magaaladan?	Have you seen this city?
6094	Hadda ka hor miyaad aragtay magaaladan?	Have you seen this city before?
6095	Hadda ka hor ma aragtay magaaladan?	Have you seen this city before?
6096	Haa, waan arkay hadda ka hor.	Yes, I have seen it before.
6098	Hadda ka hor miyaad joogtay magaaladan?	Have you been in this city before?
6099	Hadda ka hor ma joogtay magaaladan?	Have you been in this city before?
6100	Hadda ka hor ma timid magaaladan?	Have you come to this city before?
6101	Haa, waan joogay.	Yes, I have been here.
6102	Haa, waan imid.	Yes, I have come here.
6103	Haa, waan tagay.	Yes, I have gone there.
6104	Hadda ka hor miyaad tagtay magaaladan?	Have you gone to this city before?
6105	biyo	water
6106	biyaha	the water
6107	biyo badan	a lot of water
6110	hal litir	one liter
6114	kiilada	the kilo
6116	bur	flour
6117	burka	the flour
6118	hal kiilo oo bur ah	one kilo of flour
6119	labo kiilo oo bur ah	two kilos of flour
6122	biyahaaga	your water
6125	biyahooda	their water
6126	biyaheenna	our water
6127	biyahannaga	our water
6129	Biyahaygu waa ay mac yihiin.	My water is tasty.
6130	Biyahaygu waa macaan.	My water is tasty.
6134	haweeneyda	the woman
6135	hal haween	one woman
6136	hal naag	one woman
6137	naago	women
6138	naagaha	the women
6140	naagta	the woman
6141	bilcaan	woman
6142	bilcaanta	the woman
6143	bilcaamo	women
6144	bilcaamooyinka	the women
6145	bilcaamahaa	the women
6146	masawir	picture
6147	sawir	picture
6148	masawirka	the picture
6149	sawirka	the picture
6150	hal masawir	one picture
6154	masawir weyn	a big picture
6155	sawir weyn	a big picture
6156	hal masawir oo weyn	one big picture
6158	masawirkii Xasan	Hasan's picture
6159	sawirkii Xasan	Hasan's picture
6160	Kani waa Xasan.	This is Hasan.
6161	labadaas masawir	those two pictures
6162	labadaa masawir	those two pictures
6163	labadaas sawir	those two pictures
6164	labadaas masawir ee Xasan	those two pictures of Hasan's
6165	labadaas sawir ee Xasan	those two pictures of Hasan's
6167	xarig	rope
6170	xarigga	the rope
6171	labo xarig	two ropes
6173	xariggii Saynab	that rope of Saynab's (you know)
6174	xarigga Saynab	Saynab's rope
6177	labadaas xarig	those two ropes
6179	labadaas xarig ee Saynab	those two ropes of Saynab's
6180	xargihii Saynab	Saynab's ropes
6182	Tani waa Shukri.	This is Shukri.
6183	gurigii Shukri	Shukri's house
6184	Guriga Shukri waa qurux badan yahay.	Shukri's house is beautiful.
6185	Guriga Shukri waa qurxan yahay.	Shukri's house is beautiful.
6186	Guriga Shukri waa uu qurxan yahay.	Shurki's house is beautiful.
6187	Guriga Shukri waa uu qurux badan yahay.	Shukri's house is beautiful.
6188	Guriga Shukri waa mid qurxan.	Shukri's house is a beautiful one.
6189	Guriga Shukri waa mid qurux badan.	Shukri's house is a beautiful one.
6191	Tani waa hashii Suubban.	This is Suubban's camel.
6193	Hasha Suubban waa mid qurux badan.	Suubban's camel is beautiful.
6195	Guriga Ubax waa weyn yahay.	Ubah's house is big.
6197	guriga Xamdi	Hamdi's house
6198	Guriga Xamdi waa mid qurux badan.	Hamdi's haouse is a beautiful one.
6199	Guriga Xamdi waa uu qurxan yahay.	Hamdi's house is beautiful.
