189	feer 2	rib\F	L
190	feer 1	fist\M	H?
191	fiicn-	fine, nice\ADJ	
192	Fiidow	Fiidow\M	
193	fiiri-	look\V	L
194	Fiirso.	Look.	
195	fiis- 2	visa\F	
196	fiis- 1	visa\M	
197	fool	face\M	
198	fur-	open\V	L
199	furin	bread\M	
200	gaab	something short\M	
201	gaadiid	vehicles\M.COLL	
202	Gaalkacy-	Gaalkacyo	
203	gaari 2	good.housewife\F	
204	gaari 1	car\M	L
205	gaas	gas\M	
206	gabdh-	girl\F	L
208	gabyaa	poet\M	
209	gacm-	hand, arm\F	L
210	galab	afternoon\F	
211	Galguduud	Galguduud\?	
212	galley	maize\F	H
213	ganacsadaha	trade\F-autben-noun.m-def	
214	gantaal	rocket, missile	
215	Garoowe	Garoowe\?	H
216	garsoore	lay.judge\M	
217	garyaqaan	lawyer\M	
218	geed	tree\M	H
219	Geeddi	Geeddi\M	
220	geel	camels\M.CORP	H
221	gees	corner, horn\M	
222	geesi	hero, brave man\M	H
223	go'	sheet, piece of cloth\M	H
224	gobol	a region	
225	Goo!	Cut off!	
226	goob	place\F	
227	goor	moment	
228	gooyaa	cuts	
229	gorgor	vulture/eagle	
230	goror	bleeding (nose)\M	L
231	Goy!	Cut off!	
232	guddoom-	verdict, decision\M	H
233	guri	house\M	H?
234	guur	marriage\M	H
235	ha 1	OPT	L
236	ha 2	PROH	
237	haa	yes\INTRJ	L
238	haadaya	flying	
239	haan	water vessel\F	L
240	habboon	suitable	
241	habeen	night\M	L?
242	had	point in time	
243	hadal	talk\M	
244	hagaag	something straight\M	
245	hal 1	one\M	L
246	hal 3	camel\F	
247	hal|m	camel\M 	
248	hal 2	place\M	
249	hanti-	possessions\F	
250	haramcad	leopard, panther\M	L
251	Hargeys-a	Hargeisa-DER\F	
252	haween	women\M.COLL	
253	Haweeyo	Haweeyo\F	
254	hawl	work	
255	hees-	sing\V	L
256	hees	song\F	L
257	hel-	find\V	L
258	hiindo	mother\F	
260	hilb-	meat\M	H
261	Hilowle	Hilowle	
262	hooy-	mother\F	L?
263	hor	front\F	L
264	hoy	home\M	H
265	i	PRO.OBJ.1.SG	
266	idin-	PRO.2.PL	
267	igaar	boy\M 	H
268	iib-	trade\V+M	H
269	il-/indh-	eye\F	L?
270	ilk-	tooth\M~F	L
272	x		
273	illin 1	door\M	L
274	illm-	tear\F	L
275	inan 2	girl\F	L
276	inan 1	boy\M	L
277	insaan	human being	
278	irbad	needle	L
279	irrid	door\F	H
280	isa-	PRO.3.SG.M	L
281	iskaa-wax-u-qabso	self-help	
282	iskushaandheynta	the reorganization	
283	iskuul afeed	language school	
284	Isu qaybiya saddex kooxood.	Divide yourselves into three groups.	
285	Iswiidhan	Sweden	
286	Itoobiya	Ethiopia	
287	Iyadu ma bugto.	She is not ill.	
288	iya-	PRN.3.SG.F/PL	
289	jaamacadda Muqdisho	the university of Mogadishu	
290	jeeb	pocket\M	L
291	jeeni	front leg\M	H
292	jeer 1	time, occasion\M	
293	jeer 2	hippopotamus\F	L
294	jid	way, path\M	L/H?
295	Jigjiga	Jigjiga\?	
296	jiir	rat, mouse\M	L/H?
297	jik-	kitchen\F	
298	jilb-	family\M	L
299	jir-	be; use\V	L/H?
300	joog-	stand\V	H
301	Jubbada Dhexe	Middle Jubba	
302	ka	PREP.ABL	L
303	-kaa	POSS.2.SG	L > H
304	kaanaga	ours	
305	-kaas	DEM.DIST	L > H
306	kab	shoe\F	L
307	kabajaa	grasshopper	
308	kac-	rise\V	L
309	kala	apart, away	LL
310	kalgacal	love	
311	kalkaali-	assist\V	
312	kalluum-	fish\M	
313	-kan	DEM.PROX	L > H
314	-i 3	DER\V.CAUS	
315	kar-	boil\V	L?
316	kartoom-	carton\M	L
317	katiinad	chain/necklace\F	
318	-kay	POSS.1.SG	H?
319	-kee	which?	H?
320	Keeny-	Kenya\F	
321	keliya	only	
322	-kii	that one, you know	
323	kiil-	kilo\F	
324	-kiin	POSS.2.PL	
325	Kismaay-	Kismaayo\F	
326	kolay	basket\M	
327	koob	cup\M	L
328	-kood	POSS.3.PL	L > H
329	koofi	cap\F	L/H?
330	koor	bell\F	L
331	kow	one\F	
332	ku	PREP.LOC	L
333	kubbad	ball\F	
334	kulm-	meet\V	
336	ku 3	PRO.INDEF.SG.M	
337	kursi	chair\M	L
338	kuul	necklace\F	L
339			
340			
341	kuwan	PRO.DEM.PROX.PL	L
342	kuwanaga	ours	
343	kuwayaga	ours	
344	kuwii	those, you know	
345	kuwooda	theirs	
346	la	PRO.SBJ.INDEF	L
347	laal-	fly\V	
348	laam-	branch\F	L
349	laas	water hole	
350	lab	male\M	L
351	lab-	two\F	
352	lacag	money\F	
353	laf	bone\F	L
354	lalis	volley\M	
355	Layliga maad samaysid layligaaga?	Didn't you do your homework?	
356	leeb	arrow\M	L
357	libaax	lion\M	H
358	liin	citric fruit\F	L?
359	litir	liter\M	
360	lix	six\F 	
361	lo'	cattle\F.COLL	L
362	lug	leg\F	L
363	luqad	language\F 	L
364	Luul	Lul\F	H
365	ma?	Q	L
366	ma	NEG	L
367	maalm-	day\F	
368	maanta	today and tonight	
369	macallim-	teacher\M	L
371	madax	head, leader\M	
372	madow	black colour\M	H
373	magaal-	city\F	H
374	magac	name\M	
375	malaaq	clan chief\M	L
376	maqal	kids of sheep and goats\F.COLL	L
377	mar	time\M	L
378	markab	ship\M	
379	maroodi	elephant\M	H, finT
380	mar-	pass though\V	L
381	marti	guest\M	
382	marw-	lady\F	
383	Maryan	Miryam\F	L
384	mas	snake\M	L
385	masar 1	handkerchief\M	L
386	maxay	what?	
387	maxkamad	court\F	
388	maya	no\INTRJ	
389	meel	place\F	L
390	midab	colour\M	
391	midig	right side\F	H
392	mid	one\M~F	
393	miir	cleared liquid\M	L
394	miis	table\M	L
395	milki	property\M	
396	mindi	knife\F	
397	misir	lentil\F.COLL	L
398	mitir	meter\M	
399	moos	banana\M.COLL	L
400	mooy-	mortar\M	L/H?
401	Morgan	Morgan\M	
402	mudanayaal	gentlemen	
403	Mudug	Mudug	
404	mugdi	darknss\M	H
405	mukulaal	cat\F	
406	mundul	hut\M	H
407	Muqdish-	Mogadishu\F	
408	murrashax	candidate	
409	Mursal	Mursal\M	
410	muruq	muscle	
411	mushaari	porridge\F	H
412	musharrax	candidate	
413	Muumin	Muumin\M	
414	muus	banana\M.COLL	L/H?
416	na	PRO.OBJ.1.PL.EXCL	
417	naag	woman\F	L
418	nal	light bulb\M	L
419	nasiib	luck	
420	naxariis	kindness	
421	neef 2	breath; gas\F	L
423	neef 1	a breeding animal\M	L/H?
424	nidaam	order	
425	nim-	man\M	L
427	nirg-	baby.camel\M~F	H/L?
428	nooc	kind\M	
429	Nuur	Nur\M	L
430	-o	DER\F	
431	oday	old man\M	L
432	olol	flame\M	H
433	oofin		
434	oof	flank, side\F	L
435	ooh-	cry\V	H?
436	ookiyaal-	eyeglasses\M	H
437	ord-	run\V	L
438	orgi	billy goat\M	H
439	orod	running\M	L
440	qaab	form, manner\M	
441	qaad- 1	take\V	L
442	qaaddi	judge\M	
443	qaad- 2	spoon\F	L
444	Qaali	Qali	
445	qaalli	judge\M	
446	Qaalli	Qaali\F	
447	qaax-	tuberculosis\F	L
448	qab	self-esteem	
449	qab-	hold\V	L?
451	qad-	lunch\F	
452	qalab	tools\M	L
453	qalim-	pen\M	
454	qaran	nation	
455	qare	watermelon\M 	
456	qayb	part\F	L
457	qiso	story	
458	qod-	dig\V	L
459	-id	INF / DER\F	H
460	qof	person\M	
461	qoladee	which clan?	
462	qol	room	
463	qor-	write\V	
464	-aa	DER\M	
465	-aal	DER\M	
466	qori	wooden stick\M	
467	qorrax	sun\F	L
468	qoys	family\M	H
469	Qurac ma cunin.	I/X haven't had breakfast.	
470	qurbac	young.camel\M	
471	qurbajoog	diaspora	
472	qurub-weereed	a clause particle	
473	qurux	beauty	
474	raad	footprint\M	H
475	raashin	food\M	
476	rag	men\M.COLL	L?
477	rati	camel\M	
478	reer	family\M	L
479	ri'	goat\F	H
480	rid-	hurl\V	H
481	roob	rain\M	L
482	rooti	bread\M~F	H
483	ruqsadda baabuur-wadista	driving licence	
484	saaka	this morning	
485	saaxiib	friend\M~F	
486	Sabti	Saturday\M~F	
487	sac	cow\M	
488	saddex	three\F	
489	Safiyo	Safiyo\F foc see-prt.SG car\M-def	
490	sagaal	nine\M	
491	Sahr-	Sahra\F	L
492	salaadiin	sultans	
493	sambab	a lung	
494	Samsam	Samsam	
495	san 1	nose\M	L
496	sannad	year\M~F	
497	sawir	picture\M	
498	saxanka	the plate	
499	sayruukh	rocket, missile	
500	seef	sward\F	L
501	shaati	shirt\M	L
502	shabeel	leopard, tiger\M	L
503	shalay	yesterday\F	L
504	Shamso	Shamso\F	
505	shan	five\F	
506	shaq-	work\F	
507	sheeg-	tell\V	L
508	sheek-	story\F	L
509	shimbir	bird\F	L
510	shir	meeting\M	L
511	shuqul adag	a hard work	
512	shuuci	communist	
513	siddeed	eight\F	
514	si	manner\F	
515	sii-	give\V	
516	silsilad	chain\F	L
517	sim-	hip\F	L?
518	-Ø´	DER\F.COLL	
519	Soomaali	Somali\M	
520	soor	maize porridge\F	L
521	sow	Q	
522	subax	morning\M~F	
523	sug- 1	wait\V	H
524	suldaan	sultan	
525	sum-	poison\F	L
526	surwaal	a pair of trousers\M	L/H?
527	Suubban	Suubban\F	
528	suubbi-	make\V	
529	suul	thumb\M	L/H?
530	suum-	belt\M	LL
531	taag-	raise\V	H
532	aall-	be situated\V	L
533	taariikh	history\F	
534	kuwaas	PRO.DEM.DIST.PL	L
535	-i	SBJ	
536	tag-	leave\V	
537	Talaado	Tuesday\F 	
538	taliye	commander	
539	tamaandho	tomato\F.COLL	
540			
541	tartan	competition\M	
542	kee	which?\SG.M	H
543	kii	PRO.DET.SG.M (that one, you know)	H?
544	tiig	goal, effort\F	H
545	kiinna	PRO.POSS.2.PL.REF:SG.M	
546	-imid-	come\V.PST	L
547	tim-	hair\F	
548	-iri-	say\V	L
549	tir-	count\V	L
550	toban	ten\M	
551	toddobo	seven\F	
552	tog	dry river bed\M	H
553	tol-	sew\V	L
554	kooda	PRO.POSS.3.PL.REF:SG.M	L?
555	toos-	get up\V	L
556	toosh	flashlight	
557	toroombo	trumpet	
558	tuk-	crow\M	L
560	tus-	show\V	L
561	tuug	thief\M	H
562	u	PREP.VEN	L
563	ubax	flower\M	
564	Ubax	Ubax\F	
565	udeyig		
566	udgoon	scent\M	H
567	ugaas	chief, king\M	H?
568	ugx-	egg	
570	-aan	PL	
571	ujeedd-	aim\F	
572	ujeed	aim\M	
573	ukum-	egg\F.COLL	H?
574	ul	stick\F	L
575	unug	cell\M	L
576	Urdun	Jordan	H
577	urug-	lung disorder\F	H
578	urur	assembly\M	L
579	uskag	dirt\M	L
580	uu	PRO.SBJ.3M	L
581	uumi	steam\M	L
582	uun	only	
583	waa	DECL	L
584	wacan	good\ADJ	
585	waddo	road\F	
586	wad-	drive\V	L
587	-is	der\F	
588	walaal	sibling\M~F	L
589	wanaag	something good\M	H
590	-san	der\ADJ	
591	waraab-	hyena\M	L
592	waraaq	paper\F	
593	warm-	spear\M	L
594	wareem-	stabbing pain\M	L
595	Warfaa	Warfaa\M	
596	warqad	paper, letter\F	
597	war	news\M	L
598	sam-	good\ADJ	L
599	wasaarad	ministry\F-def education\F-def	
600	wasaaradda waxbarashada	ministry\F	
601	wax	thing\M	L
602	waxaa	FIN.FOC	L
603	-ba	INTENS	L
604	webi	river\M	H, finT
605	weyn	big\ADJ	H
606	wiil	boy\M	H
607	waqooyi	north\M	
608	xaak-	phlegm\F	
609	xabb-	grain; seed; piece\F	
610	xad-	steal\V	L
611	xad	border, limit\M	H
612	xafiis	office\M	L?
613	xagaaf	gravel road	
614	xag	direction\M	
615	xakame	bridle	
616	Xaliim-	Xaliimo\F	
617	Xamar	Mogadishu	
618	xammaali	porter\M	
619	xannaan-	care-taking\F	L
620	xarf-	letter of the alphabet\M	L?
621	xarg-/xark-	rope\M	
622	xarum-	center\F	
623	Xasan	Xasan\M 	L
624	xeer	law, tradition\M	
625	xig-	connect\V	
626	xiiq	panting\F	L
627	xilli	period of time\M	
628	xirfad	craft\F	
629	xoog	strength\M	
630	xool-	cattle\N	
631	xor	free person\F	
632	xum-	bad\ADJ	L?
633	Xuseen	Hussein\M	H
634	ayo?	who?	
635	-yaal	PL	
636	yaa	OPT	
637	yaanyuur	cat\F	
638	ah	be\V	
639	yar	small\ADJ	L
640	yaxaas	crocodile\M	L
641	aad 2	large degree\M	H
642	Masar 2	Egypt\F	
643	baa	FOC	
644	samee-	do, make\V	L
645	-n	INF / DER\F	
646	-ay 1	PRG	
647	-aa 2	PRS	L > H
648	-itaan	DER\M	
649	-ow	VOC	
650	Maxamed	Mohamed\M	L
651	-ay 2	PST	
652	-Vy	VOC.F	
653	´-Ø	VOC	initial tone
655	-o 2	PL	L > H
656	-yahow	VOC	
657	Muus-	Musa\M	L
658	-Ø 2	DER\M	
659	dul 2	surface\F	
660	-ee	which	
661	y-	3.SG.M / 3.PL	
662	-ay 3	PRS	
663	t-	2.SG / 2.PL / 3.SG.F	
664	-aqaann-	know\V	L
665	-aall-	be, lie\V	L
666	-iraahd-	say\V	
667	-ee 2	PST	
668	-n 2	PL	
669	-imaad-	come\V	L
670	-t	2.SG / 2.PL / 3.SG.F	
671	-i 2	INF	
672	doon-	want\V	L
673	leh	having\ADJ	L
674	-aa 3	PST	
675	-sad-	DER\V.AUTOBF	
676	-o 3	IMP.SG	
677	fiir-	sight	L
678	gooy-	cut, disconnect\V	H
679	-Ø 3	IMP.SG	
680	beer 3	farm\V	L
681	-ayd	PST 2.SG / 3.SG.F	
682	naawil-	think\V	
683	nabar	injury, pain\M	H
684	Nad-	Nada\F	H
685	najaas-	impurity\F	H
686	la 2	with	
687	hadl-	talk\V	
688	soo	PTCL.VEN	L
689	xiriir	connect\V	
690	naxdin	fright\F	H
691	-a	IMP.PL	L > H
692	-aa 4	SBJV	
693	darr-	lack\F	
694	kuma	who?\SG.M	
695	CV(C)-	DISTR	
696	kayga	PRO.POSS.1.SG.REF:SG.M	
697	-na	and	
698	-eed	DER\ADJ	
699	-u	SBJ	
700	-keed	POSS.3.SG.F	
701	-kiis	POSS.3.SG.M	
702	aay-	stepmother\F	L
703	aarsi	revenge\M	L
704	aammus	silence\M	L
705	aar	male lion\M	L
706	aan-	resentmenet\F	L
707	aagaan	small milk container\F	L
708	abbuur	lid, plug\M	L
709	aag	surroundings\M	L
710	baar	mane; bar\M	L
711	baad 2	protection money\F	L
712	caar-	spider\F	L
713	saadaal	prediction\F	L
714	saafi	purity\M/F	L
715	waal-	hand-clapping game\F	L
716	ammaan	praise\F	L
717	harraad	thirst\M	L
718	aasaas	foundation\M	L
719	-sh-	DER\N	
720	baaf	basin\M	L
721	oo	and	L
722	-ee 3	DER\V	
723	iyo	and	L
724	-iin	PL	
725	-a 2	PRS.REL	
726	jiif-	lie down\V	L?
727	hurd-	sleep\V	
728	kar- 2	be able\V	L
729	kan	PRO.DEM.PROX.SG.M	L
730	kaas	PRO.DEM.DIST.SG.M	L
731	misk-	hip\F	L
732	idl-	entire\ADJ	H
733	durdur-	running of animals\F	H
734	xanaaq	fury, anger\M	H
735	xaasid	envious person\M	H
736	xayir-	block, hinder\V	H?
737	-aad	DER\F	
738	darmaan	colt\M/F	H
739	dahab	gold\M	H
740	Maahir	Mahir\M	H
741	mabda'	principle\M	H
742	daar-	ignite\V	L
743	daar	house, building\F	H
744	daarad	yard; fence\F	L
745	Daahir	Dahir\M	L
746	daaqad	window\F	L
747	daaw-	medicine\F	L
748	Aadan	Adan\M	HH
749	aammin	trustworthy person\M	H
750	aad-	go\V	H
751	aaf-	disaster\F	H
752	iimaan 1	imam\M	L
753	iimaan 2	trust\M	H?
754	aalad	instrument\F	H
755	aadaam-	call to prayer\M/V	H
756	aabi	provocation\M	H
757	aadaab	good manners\F	H
758	aakib	necessity\M	H
759	wadaad	priest, religious man\M	H
760	baad 3	food, pasture\M	HH
761	caad-	custom\F	H
762	laami	asphalt\M	H
763	saanad	ammunition\F	H
764	saami	stock, share\M	H
765	waalli	madnees\F	H
766	ammaan 2	safety\M	Y
767	anaani	selfish person\M	
768	hagar	negligence\F	H
769	daam- 2	DER\F	H
770	daamur	asphalt\M	H
771	baaldi	bucket\M	finTH
772	daac-	belch, burp\V	H
773	edeg	pen for lambs and kids\M	L
774	eber	zero\M	L?
775	eray	word\M	L
776	edeb	good manners\M	L
777	ehel	relatives\M.COLL	L
778	ibi	afterbirth\F	H
779	erg-	delegation\F	H
780	eydin	muscular pain\F	H
781	eby-	complete\V	H
782	-an	DER\ADJ	
783	eebb-	god\M	L
784	eed-	accuse\V	L
785	-sh-	DER\F	
786	-Ø 4	DER\F	
787	eeb-	arrow head, small spear\F	L
788	eex	prejudice, nepotism\F	L
789	keen-	bring\V	L
790	sug- 2	make clear\V	L
791	raac-	go with\V	L
792	-nin	SBJV2	
793	iskuul	school\M	L
794	-Ø 5	PST	
795	tuur-	throw-\V	L
796	kayn	forest\F	L
797	-a 3	DER\F	
798	-o 4	SBJV	
799	bir	metal, iron\F	L
800	hunguri	gullet\M	H
801	-t- 2	DER\V.AUTOBF	
802	shanl-	comb\F	L
803	-ee-	DER\V	
804	feer-	comb\V	L
805	dub-	bake, fry\V	H?
806	qosl-	laugh, laughter\V~M	L
807	guul	victory\F	H
808	-kayo	POSS.1.PL.EXCL	L > H
809	kaaga	PRO.POSS.2.SG.REF:SG.M	
810	kiisa	PRO.POSS.3.SG.M.REF:SG.M	
811	keeda	PRO.POSS.3.SG.F.REF:SG.M	
812	keenna	PRO.POSS.1.PL.INCL.REF:SG.M	
813	kayaga	PRO.POSS.1.PL.EXCL.SG.M	
814	dood-	discuss, discussion\V~F	L
815	saam-	skin, hide\F	L
816	fard-	horse\M	L
817	waax	quarter\F	H
818	food	forehead\F	H
819	luul 2	pearl\M	H
820	silis	necklace\M	H
821	gaadh-	arrive\V	H?
822	ku 2	PRO.OBJ.2.SG	
823	is	PRO.OBJ.REFL	L
824	gur-	run dry\V	L
825	-oyin	PL	
826	og	aware\ADJ	H?
827	-ii	PRS	
828	socd-	walk\V~M	
829	lambar	number\M	L
830	warram-	report\V	L
832	wasiir	minister\M	L
833	day-	look\V	H
834	wayl	calf\M	H
835	dhow	close\ADJ	H
836	qoy-	wet, moisten\V	H
837	eedid	opression\F	H
838	eeg	present, now\M	HH
839	ilays	light\M	L
840	isniin	Monday\F	L
841	iftiin	light\M	L
842	il	source\F	L
843	miyi	countryside\M	H
844	boqol	hundred\M	L, FinT
845	doon	boat\F	H
846	nuug-	suck	H
847	uur	abdomen; pregnancy\M	L
848	daruur	cloud\M	L
849	tiir	pillar\M	L
850	-aad 2	DER\V	
851	kur	hill\F	L
852	kulan	meeting\M	L
853	+	COMPOUND	
854	Maxamuud	Mahamud\M	H
855	gal-	enter\V	
856	-nim-	DER\F	
857	daann-	leagal injury (?)\F	H
858	eeridhaban	animal's cry\N	
859	ilaaq	dispute\F	L
860	irmaan	diary cattle\M	L
861	ifafaal-	phenomenon\M	L
862	inkaar	curse\F	L
863	mashquul	being busy\M	
864	ib	orifice\F	L
865	maamul	management\M	L
866	ictiraaf	recognition\M	L
867	fin	acne\M	L
868	fir	origin, descent\M	L
869	iraadi	???	
870	Igarr-	Igare\M	H
871	irdhoob-	be on guard\V	H
872	injir	lice\F.COLL	H
873	-e 2	DER\ADJ	
874	sar	building\F	
875	abboow-	brother\M	L
876	idin	PRO.OBJ.2.PL	
877	ina	PRO.OBJ.1.PL.INCL	
878	Irir	name of clan	H
879	ibliis	satan\M	H
880	ilhaan	divine message, inspiration\F	H
881	isir	factor (math)\M	H
882	-ley	DER\N	
883	-le	DER\M	
884	ammin	period of time\M	H
885	ihaan-	contempt, disdain\F	H
886	idan	consent\M	H
887	miyir	consciousness\M	H
888	iin	defect\F	L
889	iiq-	narrow place\F	L
890	dhah-	say\V	L
891	fiin	bustard (bird)\F	L
892	dhiirr-	be brave\V	L
893	-aan 2	INF / DER\F	
894	iidaan	gravy, sauce\M	H?
895	iid-	eyd\F~V	
896	iil	grave chamber\M	H
897	Iikar	Ikar\M	H
898	Iimey	Imey (city)\N	H
899	fiid	dusk\M	H
900	miig	mig plane\M	H
901	-aa 5	FOC	
902	xanuun	sickness, pain\M	
903	-a 4	PRS.3.NEG	
904	buk-	be sick\V	
905	jirr-	disease\F	
906			
907	dil-	hit, kill\V	
908	cayr-	chase, run after\V	
909	buur-	chase\V	
910	lis-	milk\V	
911	harraati	kick\F~V	
912	-Ø 6	FOC	
913	-ta	DEF	L > H
914	-taa	POSS.2.SG	L > H
915	-taas	DEM.DIST	L > H
916	-tan	DEM.PROX	L
917	-tay	POSS.1.SG	H?
918	-tayo	POSS.1.PL.EXCL	
919	-tii	that one, you know	
920	-tiin	POSS.2.PL	
921	-tiis	POSS.3.SG.M	
922	tan	PRO.DEM.PROX.SG.F	
923	taas	PRO.DEM.DIST.SG.F	L
924	tayada	PRO.POSS.1.PL.EXCL.SG.F	
925	kuwayaga	PRO.POSS.1.PL.EXCL.PL	
926	teenna	PRO.POSS.1.PL.INCL.REF:SG.F	
927	kuweenna	PRO.POSS.1.PL.INCL.REF:PL	
928	teeda	PRO.POSS.3.SG.F.REF:SG.F	
929	kuweeda	PRO.POSS.3.SG.F.REF:PL	
930	tiisa	PRO.POSS.3.SG.M.REF:SG.F	
931	kuwiisa	PRO.POSS.3.SG.M.REF:PL	
932	taada	PRO.POSS.2.SG.REF:SG.F	
933	kuwaaga	PRO.POSS.2.SG.REF:PL	
934	-teed	POSS.3.SG.F	
935	tayda	PRO.POSS.1.SG.REF:SG.F	
936	kuwayga	PRO.POSS.1.SG.REF:PL	
937	tuma	who?\SG.F	
938	tooda	PRO.POSS.3.PL.REF:SG.F	H
939	kuwooda	PRO.POSS.3.PL.REF:PL	
940	tiinna	PRO.POSS.2.PL.REF:SG.F	
941	kuwiinna	PRO.POSS.2.PL.REF:PL	
942	tii	PRO.DET.SG.F (that one, you know)	
943	kuwii	PRO.DET.PL (that one, you know)	
944			
945	tee	which?\SG.F	H
946	kuwee	which?\PL	
947	tu	PRO.INDEF.SG.F	
948	kuwo	PRO.INDEF.PL	
949	-tood	POSS.3.PL	H?
950	-tee	which?	H?
951	-teen	POSS.1.PL.INCL	
953	-i 4	1.SG.NEG	
954	jecl-	fond\ADJ	
955	waddam-	native country\M	
956	macaan	sweet, tasty\ADJ	
957	-Ø 7	PRS.REL	
